,Unnamed: 0,Date,Country,Activity,Hemispheres,Months
1596,1596,13-Apr-2005,USA,Wading,Hemisphere-N,apr
1597,1597,09-Apr-2005,USA,Surfing,Hemisphere-N,apr
1598,1598,07-Apr-2005,USA,Surfing,Hemisphere-N,apr
1599,1599,06-Apr-2005,USA,,Hemisphere-N,apr
1601,1601,28-Mar-2005,SOUTH AFRICA,Surfing,Hemisphere-S,mar
1604,1604,19-Mar-2005,AUSTRALIA,Snorkeling,Hemisphere-S,mar
1605,1605,12-Mar-2005,USA,Diving in aquarium display tank,Hemisphere-N,mar
1606,1606,10-Mar-2005,SOUTH AFRICA,,Hemisphere-S,mar
1607,1607,09-Mar-2005,NEW ZEALAND,Fishing,Hemisphere-S,mar
1609,1609,26-Feb-2005,AUSTRALIA,Swimming,Hemisphere-S,feb
1610,1610,22-Feb-2005,USA,Spearfishing,Hemisphere-N,feb
1611,1611,16-Feb-2005,USA,Surfing,Hemisphere-N,feb
1612,1612,13-Feb-2005,USA,Spearfishing,Hemisphere-N,feb
1615,1615,19-Jan-2005,AUSTRALIA,Spearfishing,Hemisphere-S,jan
1616,1616,14-Jan-2005,AUSTRALIA,Attempting to drive shark away from sailing regatta,Hemisphere-S,jan
1617,1617,08-Jan-2005,NEW ZEALAND,Fishing from a kayak,Hemisphere-S,jan
1619,1619,16-Dec-2004,AUSTRALIA,Scurfing (surfboard being  towed behind a boat),Hemisphere-S,dec
1620,1620,11-Dec-2004,AUSTRALIA,Spearfishing,Hemisphere-S,dec
1621,1621,27-Nov-2004,SOUTH AFRICA,Surfing,Hemisphere-S,nov
1622,1622,26-Nov-2004,SOUTH AFRICA,Playing,Hemisphere-S,nov
1623,1623,15-Nov-2004,SOUTH AFRICA,Swimming,Hemisphere-S,nov
1624,1624,11-Nov-2004,USA,Surfing,Hemisphere-N,nov
1628,1628,30-Oct-2004,NEW ZEALAND,,Hemisphere-S,oct
1629,1629,30-Oct-2004,SOUTH AFRICA,Chumming for white sharks,Hemisphere-S,oct
1630,1630,21-Oct-2004,AUSTRALIA,Surfing,Hemisphere-S,oct
1631,1631,10-Oct-2004,USA,Surfing,Hemisphere-N,oct
1632,1632,09-Oct-2004,USA,Spearfishing,Hemisphere-N,oct
1633,1633,09-Oct-2004,SOUTH AFRICA,Surfing,Hemisphere-S,oct
1635,1635,02-Oct-2004,USA,Surfing,Hemisphere-N,oct
1636,1636,01-Oct-2004,USA,Surfing,Hemisphere-N,oct
1637,1637,25-Sep-2004,AUSTRALIA,Spearfishing/ filming,Hemisphere-S,sep
1638,1638,20-Sep-2004,USA,Surfing,Hemisphere-N,sep
1639,1639,10-Sep-2004,USA,Surf fishing,Hemisphere-N,sep
1641,1641,04-Sep-2004,USA,Jumping,Hemisphere-N,sep
1642,1642,29-Aug-2004,USA,Walking,Hemisphere-N,aug
1644,1644,20-Aug-2004,USA,Surfing,Hemisphere-N,aug
1645,1645,15-Aug-2004,USA,Diving,Hemisphere-N,aug
1646,1646,06-Aug-2004,USA,Swimming,Hemisphere-N,aug
1647,1647,03-Aug-2004,AUSTRALIA,Spearfishing,Hemisphere-S,aug
1648,1648,Aug-2004,SOUTH AFRICA,Fishing,Hemisphere-S,aug
1649,1649,31-Jul-2004,USA,Surfing,Hemisphere-N,jul
1651,1651,28-Jul-2004,USA,Surfing,Hemisphere-N,jul
1652,1652,27-Jul-2004,USA,Swimming,Hemisphere-N,jul
1653,1653,27-Jul-2004,USA,Swimming,Hemisphere-N,jul
1654,1654,25-Jul-2004,USA,Wading / fishing & carrying a bag of fish,Hemisphere-N,jul
1655,1655,"19-Jul-2004 Reported to have happened  ""on the weekend""",AUSTRALIA,Fishing,Hemisphere-S,jul
1657,1657,10-Jul-2004,AUSTRALIA,Surfing,Hemisphere-S,jul
1659,1659,02-Jul-2004,USA,Wading,Hemisphere-N,jul
1660,1660,26-Jun-2004,USA,Surfing,Hemisphere-N,jun
1661,1661,26-Jun-2004,AUSTRALIA,Crayfishing,Hemisphere-S,jun
1662,1662,14-Jun-2004,USA,In water with diving seabirds,Hemisphere-N,jun
1663,1663,10-Jun-2004,AUSTRALIA,Body boarding,Hemisphere-S,jun
1664,1664,10-Jun-2004,USA,Swimming,Hemisphere-N,jun
1665,1665,02-Jun-2004,SOUTH AFRICA,"Swimming, poaching perlemoen",Hemisphere-S,jun
1666,1666,29-May-2004,USA,Wading,Hemisphere-N,may
1668,1668,28-May-2004,USA,Surfing,Hemisphere-N,may
1669,1669,23-May-2004,USA,Boogie-boarding / swimming,Hemisphere-N,may
1670,1670,22-May-2004,USA,Swimming,Hemisphere-N,may
1671,1671,22-May-2004,USA,,Hemisphere-N,may
1674,1674,04-May-2004,USA,Tandem surfing,Hemisphere-N,may
1676,1676,26-Apr-2004,AUSTRALIA,Diving,Hemisphere-S,apr
1677,1677,22-Apr-2004,NEW ZEALAND,Fishing,Hemisphere-S,apr
1680,1680,07-Apr-2004,USA,Surfing,Hemisphere-N,apr
1681,1681,05-Apr-2004,SOUTH AFRICA,Surfing,Hemisphere-S,apr
1682,1682,04-Apr-2004,USA,Surfing,Hemisphere-N,apr
1683,1683,31-Mar-2004,USA,,Hemisphere-N,mar
1684,1684,31-Mar-2004,USA,Surfing,Hemisphere-N,mar
1686,1686,28-Mar-2004,USA,Surfing,Hemisphere-N,mar
1688,1688,27-Mar-2004,USA,Swimming,Hemisphere-N,mar
1689,1689,14-Mar-2004,USA,Snorkeling,Hemisphere-N,mar
1690,1690,22-Mar-2004,NEW ZEALAND,Spearfishing,Hemisphere-S,mar
1691,1691,16-Mar-2004,USA,Surfing,Hemisphere-N,mar
1692,1692,06-Mar-2004,AUSTRALIA,Spearfishing,Hemisphere-S,mar
1694,1694,26-Feb-2004,NEW ZEALAND,Surfing,Hemisphere-S,feb
1695,1695,21-Feb-2004,AUSTRALIA,Swimming,Hemisphere-S,feb
1696,1696,16-Feb-2004,AUSTRALIA,Free diving & spearfishing,Hemisphere-S,feb
1698,1698,11-Feb-2004,AUSTRALIA,Snorkeling,Hemisphere-S,feb
1699,1699,25-Jan-2004,AUSTRALIA,Scuba diving,Hemisphere-S,jan
1701,1701,22-Jan-2004,NEW ZEALAND,Boogie boarding,Hemisphere-S,jan
1705,1705,12-Jan-2004,AUSTRALIA,Diving,Hemisphere-S,jan
1706,1706,07-Jan-2004,SOUTH AFRICA,Surfing,Hemisphere-S,jan
1707,1707,03-Jan-2004,NEW ZEALAND,Kayaking (returning from spearfishing),Hemisphere-S,jan
1710,1710,31-Dec-2003,SOUTH AFRICA,,Hemisphere-S,dec
1711,1711,26-Dec-2003,USA,Swimming,Hemisphere-N,dec
1712,1712,13-Dec-2003,USA,Swimming,Hemisphere-N,dec
1713,1713,13-Dec-2003,NEW ZEALAND,Swimming / shipwreck,Hemisphere-S,dec
1714,1714,08-Dec-2003,AUSTRALIA,Surfing amid a shoal of sharks,Hemisphere-S,dec
1715,1715,30-Nov-2003,AUSTRALIA,Swimming,Hemisphere-S,nov
1716,1716,30-Nov-2003,AUSTRALIA,Swimming,Hemisphere-S,nov
1717,1717,27-Nov-2003,SOUTH AFRICA,Spearfishing,Hemisphere-S,nov
1718,1718,22-Nov-2003,USA,Surfing,Hemisphere-N,nov
1720,1720,12-Nov-2003,USA,Surfing,Hemisphere-N,nov
1722,1722,06-Nov-2003,SOUTH AFRICA,Surf skiing,Hemisphere-S,nov
1723,1723,01-Nov-2003,AUSTRALIA,Standing,Hemisphere-S,nov
1725,1725,31-Oct-2003,USA,Surfing,Hemisphere-N,oct
1726,1726,31-Oct-2003,AUSTRALIA,Surfing,Hemisphere-S,oct
1727,1727,31-Oct-2003,USA,Surfing,Hemisphere-N,oct
1728,1728,27-Oct-2003,USA,Surfing,Hemisphere-N,oct
1729,1729,24-Oct-2003,USA,Snorkeling,Hemisphere-N,oct
1730,1730,14-Oct-2003,USA,Surfing,Hemisphere-N,oct
1731,1731,06-Oct-2003,USA,Swimming to shore from boat or kayak,Hemisphere-N,oct
1732,1732,05-Oct-2003,USA,Surfing,Hemisphere-N,oct
1733,1733,05-Oct-2003,USA,Surfing,Hemisphere-N,oct
1734,1734,05-Oct-2003,USA,Surfing,Hemisphere-N,oct
1735,1735,05-Oct-2003,USA,Sitting on surfboard,Hemisphere-N,oct
1736,1736,05-Oct-2003,USA,Wading near a fishing net,Hemisphere-N,oct
1738,1738,28-Sep-2003,USA,Surfing,Hemisphere-N,sep
1739,1739,21-Sep-2003,USA,Surfing,Hemisphere-N,sep
1740,1740,19-Sep-2003,USA,Surfing,Hemisphere-N,sep
1741,1741,17-Sep-2003,USA,Surfing,Hemisphere-N,sep
1742,1742,14-Sep-2003,USA,Surfing,Hemisphere-N,sep
1743,1743,14-Sep-2003,SOUTH AFRICA,Fishing ,Hemisphere-S,sep
1744,1744,14-Sep-2003,USA,Swimming,Hemisphere-N,sep
1745,1745,13-Sep-2003,USA,Body boarding,Hemisphere-N,sep
1746,1746,13-Sep-2003,USA,"Standing, stepped on shark",Hemisphere-N,sep
1747,1747,12-Sep-2003,SOUTH AFRICA,Body boarding,Hemisphere-S,sep
1748,1748,Sep-2003,USA,Wade-fishing,Hemisphere-N,sep
1749,1749,29-Aug-2003,USA,Fishing,Hemisphere-N,aug
1750,1750,19-Aug-2003,USA,"Swimming, wearing black wetsuit & swim fins",Hemisphere-N,aug
1751,1751,12-Aug-2003,USA,Swimming,Hemisphere-N,aug
1752,1752,08-Aug-2003,SOUTH AFRICA,Sitting on surfboard,Hemisphere-S,aug
1754,1754,20-Jul-2003,USA,Surfing,Hemisphere-N,jul
1755,1755,15-Jul-2003,USA,Wading,Hemisphere-N,jul
1757,1757,05-Jul-2003,USA,"Walking, carrying surfboard & stepped on shark",Hemisphere-N,jul
1758,1758,05-Jul-2003,USA,Surfing,Hemisphere-N,jul
1760,1760,Jul-2003,USA,Spearfishing,Hemisphere-N,jul
1762,1762,Jul-2003,NEW ZEALAND,Snorkeling,Hemisphere-S,jul
1763,1763,30-Jun-2003,USA,Surfing,Hemisphere-N,jun
1764,1764,26-Jun-2003,USA,Surfing,Hemisphere-N,jun
1766,1766,24-Jun-2003,USA,Standing,Hemisphere-N,jun
1767,1767,24-Jun-2003,USA,Swimming with pod of dolphins,Hemisphere-N,jun
1768,1768,22-Jun-2003,USA,Swimming,Hemisphere-N,jun
1769,1769,19-Jun-2003,USA,Surfing ,Hemisphere-N,jun
1770,1770,08-Jun-2003,USA,Surfing,Hemisphere-N,jun
1771,1771,Jun-2003,USA,Swimming,Hemisphere-N,jun
1772,1772,25-May-2003,USA,Surfing,Hemisphere-N,may
1773,1773,14-May-2003,USA,Wading,Hemisphere-N,may
1774,1774,10-May-2003,USA,Swimming,Hemisphere-N,may
1775,1775,07-May-2003,USA,Surfing,Hemisphere-N,may
1776,1776,03-May-2003,USA,Walking,Hemisphere-N,may
1782,1782,21-Apr-2003,USA,Surfing,Hemisphere-N,apr
1783,1783,21-Apr-2003,USA,Surfing,Hemisphere-N,apr
1784,1784,20-Apr-2003,USA,Surfing,Hemisphere-N,apr
1785,1785,20-Apr-2003,USA,Surfing,Hemisphere-N,apr
1786,1786,20-Apr-2003,USA,Surfing,Hemisphere-N,apr
1787,1787,19-Apr-2003,USA,Jumping,Hemisphere-N,apr
1788,1788,18-Apr-2003,USA,Surfing,Hemisphere-N,apr
1789,1789,15-Apr-2003,USA,Swimming (using a float),Hemisphere-N,apr
1791,1791,09-Apr-2003,USA,Surfing,Hemisphere-N,apr
1792,1792,04-Apr-2003,USA,Surfing,Hemisphere-N,apr
1793,1793,10-Mar-2003,USA,Petting captive sharks,Hemisphere-N,mar
1794,1794,27-Feb-2003,NEW ZEALAND,Scuba diving,Hemisphere-S,feb
1795,1795,15-Feb-2003,AUSTRALIA,Wading,Hemisphere-S,feb
1796,1796,15-Feb-2003,USA,Swimming,Hemisphere-N,feb
1797,1797,11-Feb-2003,AUSTRALIA,Swimming,Hemisphere-S,feb
1798,1798,08-Feb-2003,AUSTRALIA,Swimming,Hemisphere-S,feb
1799,1799,17-Jan-2003,SOUTH AFRICA,Unknown,Hemisphere-S,jan
1801,1801,02-Jan-2003,AUSTRALIA,Surfing,Hemisphere-S,jan
1802,1802,29-Dec-2002,AUSTRALIA,Snorkeling,Hemisphere-S,dec
1803,1803,24-Dec-2002,SOUTH AFRICA,Snorkeling,Hemisphere-S,dec
1804,1804,21-Dec-2002,AUSTRALIA,Scuba diving,Hemisphere-S,dec
1805,1805,20-Dec-2002,AUSTRALIA,Swimming,Hemisphere-S,dec
1806,1806,16-Dec-2002,AUSTRALIA,Swimming,Hemisphere-S,dec
1809,1809,28-Nov-2002,USA,Body boarding,Hemisphere-N,nov
1810,1810,17-Nov-2002,USA,Swimming,Hemisphere-N,nov
1812,1812,11-Nov-2002,USA,Surfing,Hemisphere-N,nov
1813,1813,02-Nov-2002,USA,Boogie boarding,Hemisphere-N,nov
1815,1815,30-Oct-2002,USA,Swimming,Hemisphere-N,oct
1817,1817,11-Oct-2002,USA,Surfing,Hemisphere-N,oct
1818,1818,05-Oct-2002,USA,Surfing,Hemisphere-N,oct
1819,1819,05-Oct-2002,USA,Surfing,Hemisphere-N,oct
1820,1820,03-Oct-2002,USA,Surfing,Hemisphere-N,oct
1821,1821,30-Sep-2002,USA,Surfing,Hemisphere-N,sep
1822,1822,29-Sep-2002,USA,Surfing,Hemisphere-N,sep
1823,1823,27-Sep-2002,USA,Fishing from Surfboard,Hemisphere-N,sep
1824,1824,27-Sep-2002,USA,Fishing,Hemisphere-N,sep
1826,1826,21-Sep-2002,USA,Boogie boarding or Surfing,Hemisphere-N,sep
1827,1827,21-Sep-2002,USA,Surfing,Hemisphere-N,sep
1829,1829,16-Sep-2002,USA,Body boarding,Hemisphere-N,sep
1830,1830,13-Sep-2002,SOUTH AFRICA,Surf skiing,Hemisphere-S,sep
1831,1831,09-Sep-2002,USA,Boogie boarding,Hemisphere-N,sep
1832,1832,05-Sep-2002,USA,"Wading, when he stepped on the shark",Hemisphere-N,sep
1833,1833,28-Aug-2002,USA,Surfing,Hemisphere-N,aug
1834,1834,17-Aug-2002,USA,Swimming,Hemisphere-N,aug
1835,1835,14-Aug-2002,USA,Surfing,Hemisphere-N,aug
1836,1836,11-Aug-2002,USA,Surfing,Hemisphere-N,aug
1837,1837,07-Aug-2002,USA,Standing,Hemisphere-N,aug
1839,1839,05-Aug-2002,USA,Standing,Hemisphere-N,aug
1840,1840,26-Jul-2002,USA,Surfing,Hemisphere-N,jul
1841,1841,20-Jul-2002,USA,Swimming,Hemisphere-N,jul
1842,1842,10-Jul-2002,USA,Surfing,Hemisphere-N,jul
1843,1843,09-Jul-2002,USA,Shark Fishing,Hemisphere-N,jul
1845,1845,04-Jul-2002,USA,Standing,Hemisphere-N,jul
1846,1846,20-Jun-2002,AUSTRALIA,Surfing,Hemisphere-S,jun
1847,1847,20-Jun-2002,USA,Swimming,Hemisphere-N,jun
1851,1851,11-Jun-2002,USA,Sitting on surfboard,Hemisphere-N,jun
1852,1852,10-Jun-2002,USA,Surfing,Hemisphere-N,jun
1853,1853,09-Jun-2002,USA,Surfing,Hemisphere-N,jun
1854,1854,09-Jun-2002,USA,Swimming,Hemisphere-N,jun
1855,1855,03-Jun-2002,SOUTH AFRICA,Snorkeling (filming the sardine run),Hemisphere-S,jun
1856,1856,31-May-2002,USA,Surfing,Hemisphere-N,may
1857,1857,31-May-2002,USA,Floating on a raft,Hemisphere-N,may
1858,1858,22-May-2002,USA,"Fishing, removing the shark from his line",Hemisphere-N,may
1859,1859,22-May-2002,USA,Playing in the surf with his 2 dogs,Hemisphere-N,may
1861,1861,21-May-2002,PAPUA NEW GUINEA,Collecting beche-de-mer,Hemisphere-S,may
1862,1862,13-May-2002,USA,Fishing,Hemisphere-N,may
1864,1864,07-May-2002,AUSTRALIA,Fishing from prawn trawler,Hemisphere-S,may
1865,1865,30-Apr-2002,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,Hemisphere-S,apr
1866,1866,21-Apr-2002,AUSTRALIA,Fishing (Drowned 2-Apr-2002),Hemisphere-S,apr
1867,1867,20-Apr-2002,USA,"Surfing, but standing in water alongside board",Hemisphere-N,apr
1868,1868,18-Apr-2002,USA,Surfing,Hemisphere-N,apr
1869,1869,12-Apr-2002,AUSTRALIA,Swimming,Hemisphere-S,apr
1871,1871,02-Apr-2002,USA,Wading,Hemisphere-N,apr
1872,1872,01-Apr-2002,USA,Swimming / Wading,Hemisphere-N,apr
1873,1873,25-Mar-2002,USA,Body-boarding,Hemisphere-N,mar
1874,1874,25-Mar-2002,USA,Wading,Hemisphere-N,mar
1876,1876,19-Mar-2002,USA,Swimming /  boogie boarding,Hemisphere-N,mar
1877,1877,15-Mar-2002,USA,Snorkeling,Hemisphere-N,mar
1878,1878,15-Mar-2002,USA,Surfing,Hemisphere-N,mar
1881,1881,16-Feb-2002,AUSTRALIA,Surfing,Hemisphere-S,feb
1883,1883,07-Feb-2002,AUSTRALIA,Kayaking,Hemisphere-S,feb
1884,1884,30-Jan-2002,AUSTRALIA,Surfing,Hemisphere-S,jan
1885,1885,30-Jan-2002,AUSTRALIA,Swimming,Hemisphere-S,jan
1886,1886,04-Jan-2002,SOUTH AFRICA,Fishing,Hemisphere-S,jan
1888,1888,01-Jan-2002,SOUTH AFRICA,Surf skiing,Hemisphere-S,jan
1889,1889,01-Jan-2002,USA,Snorkeling,Hemisphere-N,jan
1890,1890,21-Dec-2001,AUSTRALIA,Surfing,Hemisphere-S,dec
1891,1891,23-Nov-2001,AUSTRALIA,Surfing,Hemisphere-S,nov
1892,1892,14-Nov-2001,USA,Surfing,Hemisphere-N,nov
1893,1893,07-Nov-2001,AUSTRALIA,Surf-skiing,Hemisphere-S,nov
1894,1894,07-Oct-2001,SOUTH AFRICA,Kite-Boarding,Hemisphere-S,oct
1895,1895,02-Oct-2001,AUSTRALIA,Snorkeling,Hemisphere-S,oct
1897,1897,30-Sep-2001,AUSTRALIA,,Hemisphere-S,sep
1898,1898,24-Sep-2001,USA,"Surfing, fell off surfboard & stepped on the shark.",Hemisphere-N,sep
1899,1899,18-Sep-2001,USA,Surfing,Hemisphere-N,sep
1900,1900,16-Sep-2001,USA,Wreck / Technical diving,Hemisphere-N,sep
1901,1901,15-Sep-2001,USA,Boogie boarding,Hemisphere-N,sep
1902,1902,15-Sep-2001,USA,Surfing,Hemisphere-N,sep
1904,1904,08-Sep-2001,USA,Fishing,Hemisphere-N,sep
1905,1905,07-Sep-2001,USA,Walking in shallows,Hemisphere-N,sep
1906,1906,07-Sep-2001,USA,Swimming,Hemisphere-N,sep
1907,1907,03-Sep-2001,USA,Swimming ,Hemisphere-N,sep
1908,1908,03-Sep-2001,USA,Swimming,Hemisphere-N,sep
1909,1909,02-Sep-2001,USA,Wading,Hemisphere-N,sep
1910,1910,01-Sep-2001,USA,Swimming ,Hemisphere-N,sep
1912,1912,29-Aug-2001,USA,Standing,Hemisphere-N,aug
1913,1913,27-Aug-2001,USA,Wading,Hemisphere-N,aug
1914,1914,26-Aug-2001,USA,Boogie Boarding,Hemisphere-N,aug
1915,1915,25-Aug-2001,USA,Boogie Boarding,Hemisphere-N,aug
1916,1916,22-Aug-2001,USA,Surfing,Hemisphere-N,aug
1917,1917,21-Aug-2001,USA,Surfing,Hemisphere-N,aug
1918,1918,19-Aug-2001,USA,Surfing,Hemisphere-N,aug
1919,1919,19-Aug-2001,USA,Surfing,Hemisphere-N,aug
1920,1920,19-Aug-2001,USA,Surfing,Hemisphere-N,aug
1921,1921,18-Aug-2001,USA,Surfing,Hemisphere-N,aug
1922,1922,18-Aug-2001,USA,Surfing,Hemisphere-N,aug
1923,1923,18-Aug-2001,USA,Surfing,Hemisphere-N,aug
1926,1926,05-Aug-2001,USA,,Hemisphere-N,aug
1929,1929,26-Jul-2001,USA,,Hemisphere-N,jul
1930,1930,25-Jul-2001,USA,,Hemisphere-N,jul
1931,1931,24-Jul-2001,USA,,Hemisphere-N,jul
1932,1932,21-Jul-2001,USA,Fishing,Hemisphere-N,jul
1933,1933,15-Jul-2001,USA,Surfing,Hemisphere-N,jul
1934,1934,15-Jul-2001,USA,Boogie boarding,Hemisphere-N,jul
1936,1936,06-Jul-2001,USA,Swimming,Hemisphere-N,jul
1937,1937,03-Jul-2001,USA,,Hemisphere-N,jul
1938,1938,Jul-2001,USA,Floating face-down in knee-deep water,Hemisphere-N,jul
1939,1939,12-Jun-2001,USA,Swimming,Hemisphere-N,jun
1940,1940,10-Jun-2001,USA,Spearfishing,Hemisphere-N,jun
1941,1941,09-Jun-2001,AUSTRALIA,Hiking on the beach,Hemisphere-S,jun
1942,1942,03-Jun-2001,USA,Wading,Hemisphere-N,jun
1943,1943,29-May-2001,USA,,Hemisphere-N,may
1944,1944,23-May-2001,USA,Swimming,Hemisphere-N,may
1945,1945,20-May-2001,USA,Swimming,Hemisphere-N,may
1948,1948,08-May-2001,SOUTH AFRICA,Surfing,Hemisphere-S,may
1949,1949,04-May-2001,AUSTRALIA,Surfing,Hemisphere-S,may
1950,1950,03-May-2001,USA,Surfing,Hemisphere-N,may
1952,1952,28-Apr-2001,USA,Boogie boarding,Hemisphere-N,apr
1953,1953,13-Apr-2001,USA,Surfing,Hemisphere-N,apr
1954,1954,13-Apr-2001,USA,Surfing,Hemisphere-N,apr
1955,1955,12-Apr-2001,USA,,Hemisphere-N,apr
1956,1956,12-Apr-2001,USA,Surfing,Hemisphere-N,apr
1957,1957,12-Apr-2001,USA,Surfing,Hemisphere-N,apr
1958,1958,12-Apr-2001,USA,Body boarding,Hemisphere-N,apr
1959,1959,12-Apr-2001,USA,Surfing,Hemisphere-N,apr
1960,1960,11-Apr-2001,USA,Surfing,Hemisphere-N,apr
1961,1961,11-Apr-2001,USA,Surfing,Hemisphere-N,apr
1962,1962,11-Apr-2001,USA,Surfing,Hemisphere-N,apr
1963,1963,10-Apr-2001,USA,Surfing,Hemisphere-N,apr
1964,1964,08-Apr-2001,SOUTH AFRICA,Surfing,Hemisphere-S,apr
1965,1965,08-Apr-2001,AUSTRALIA,Snorkeling,Hemisphere-S,apr
1966,1966,05-Apr-2001,USA,Standing alongside surfboard,Hemisphere-N,apr
1968,1968,02-Apr-2001,AUSTRALIA,Surfing,Hemisphere-S,apr
1969,1969,23-Mar-2001,USA,Body-boarding,Hemisphere-N,mar
1970,1970,09-Mar-2001,USA,Surfing,Hemisphere-N,mar
1974,1974,26-Feb-2001,AUSTRALIA,Fishing for whiting,Hemisphere-S,feb
1976,1976,04-Feb-2001,AUSTRALIA,Surfing,Hemisphere-S,feb
1979,1979,21-Jan-2001,AUSTRALIA,Fishing,Hemisphere-S,jan
1980,1980,09-Jan-2001,USA,Surfing,Hemisphere-N,jan
1981,1981,06-Jan-2001,NEW ZEALAND,Kayaking,Hemisphere-S,jan
1982,1982,24-Dec-2000,AUSTRALIA,Scuba diving,Hemisphere-S,dec
1984,1984,11-Dec-2000,AUSTRALIA,Fishing for whiting,Hemisphere-S,dec
1986,1986,03-Dec-2000,AUSTRALIA,Spearfishing,Hemisphere-S,dec
1987,1987,Dec-2000,NEW ZEALAND,Surfing,Hemisphere-S,dec
1988,1988,21-Nov-2000,AUSTRALIA,Diving (shell maintenance),Hemisphere-S,nov
1989,1989,20-Nov-2000,AUSTRALIA,Shipwrecked,Hemisphere-S,nov
1990,1990,17-Nov-2000,USA,Swimming,Hemisphere-N,nov
1991,1991,10-Nov-2000,USA,Walking,Hemisphere-N,nov
1992,1992,06-Nov-2000,AUSTRALIA,Swimming,Hemisphere-S,nov
1993,1993,06-Nov-2000,AUSTRALIA,Swimming,Hemisphere-S,nov
1994,1994,04-Nov-2000,USA,Surfing,Hemisphere-N,nov
1995,1995,29-Oct-2000,AUSTRALIA,Fishing ,Hemisphere-S,oct
1996,1996,20-Oct-2000,USA,Surfing,Hemisphere-N,oct
1997,1997,18-Oct-2000,USA,Swimming / snorkeling,Hemisphere-N,oct
1998,1998,14-Oct-2000,USA,Swimming,Hemisphere-N,oct
1999,1999,09-Oct-2000,USA,Surfing,Hemisphere-N,oct
2000,2000,06-Oct-2000,USA,Surfing,Hemisphere-N,oct
2001,2001,06-Oct-2000,USA,Body surfing,Hemisphere-N,oct
2002,2002,02-Oct-2000,USA,Surfing,Hemisphere-N,oct
2003,2003,29-Sep-2000,USA,Sitting on surfboard,Hemisphere-N,sep
2004,2004,25-Sep-2000,AUSTRALIA,Surfing,Hemisphere-S,sep
2005,2005,24-Sep-2000,AUSTRALIA,Surfing,Hemisphere-S,sep
2006,2006,19-Sep-2000,AUSTRALIA,Fell onto dead shark,Hemisphere-S,sep
2008,2008,16-Sep-2000,USA,,Hemisphere-N,sep
2009,2009,15-Sep-2000,USA,Standing / surfing,Hemisphere-N,sep
2010,2010,12-Sep-2000,USA,Surfing,Hemisphere-N,sep
2011,2011,11-Sep-2000,USA,Swimming / Body surfing,Hemisphere-N,sep
2012,2012,10-Sep-2000,USA,Swimming,Hemisphere-N,sep
2013,2013,10-Sep-2000,SOUTH AFRICA,Free diving,Hemisphere-S,sep
2015,2015,08-Sep-2000,USA,Wading,Hemisphere-N,sep
2018,2018,31-Aug-2000,USA,Swimming,Hemisphere-N,aug
2019,2019,30-Aug-2000,USA,Jumped into the water,Hemisphere-N,aug
2021,2021,21-Aug-2000,USA,Swimming out to porpoises ,Hemisphere-N,aug
2022,2022,15-Aug-2000,USA,"Windsurfing, but sitting on his board",Hemisphere-N,aug
2023,2023,13-Aug-2000,USA,Surfing / Wading,Hemisphere-N,aug
2024,2024,12-Aug-2000,USA,Standing,Hemisphere-N,aug
2025,2025,11-Aug-2000,USA,Swimming ,Hemisphere-N,aug
2026,2026,10-Aug-2000,USA,Attempting to illegally enter the USA,Hemisphere-N,aug
2028,2028,25-Jul-2000,USA,,Hemisphere-N,jul
2029,2029,22-Jul-2000,USA,Snorkeling,Hemisphere-N,jul
2030,2030,17-Jul-2000,USA,Surfing,Hemisphere-N,jul
2031,2031,16-Jul-2000,USA,Surfing,Hemisphere-N,jul
2032,2032,16-Jul-2000,SOUTH AFRICA,Surfing,Hemisphere-S,jul
2033,2033,15-Jul-2000,SOUTH AFRICA,Surfing,Hemisphere-S,jul
2034,2034,15-Jul-2000,SOUTH AFRICA,Surfing,Hemisphere-S,jul
2036,2036,10-Jul-2000,USA,Wading,Hemisphere-N,jul
2037,2037,09-Jul-2000,USA,Swimming ,Hemisphere-N,jul
2038,2038,07-Jul-2000,USA,Jumping,Hemisphere-N,jul
2039,2039,06-Jul-2000,USA,Playing,Hemisphere-N,jul
2040,2040,04-Jul-2000,USA,Wading,Hemisphere-N,jul
2041,2041,04-Jul-2000,USA,"Spearfishing, holding mesh bag with speared fish",Hemisphere-N,jul
2042,2042,02-Jul-2000,USA,Wading,Hemisphere-N,jul
2043,2043,02-Jul-2000,USA,Standing,Hemisphere-N,jul
2045,2045,30-Jun-2000,PAPUA NEW GUINEA,,Hemisphere-S,jun
2046,2046,29-Jun-2000,NEW ZEALAND,Fishing,Hemisphere-S,jun
2047,2047,19-Jun-2000,USA,Standing,Hemisphere-N,jun
2048,2048,13-Jun-2000,USA,Sailing,Hemisphere-N,jun
2049,2049,10-Jun-2000,USA,Surfing,Hemisphere-N,jun
2050,2050,09-Jun-2000,USA,Swimming,Hemisphere-N,jun
2051,2051,09-Jun-2000,USA,Swimming ,Hemisphere-N,jun
2052,2052,02-Jun-2000,USA,Snorkeling,Hemisphere-N,jun
2055,2055,09-May-2000,AUSTRALIA,,Hemisphere-S,may
2056,2056,07-May-2000,PAPUA NEW GUINEA,Standing,Hemisphere-S,may
2057,2057,07-May-2000,PAPUA NEW GUINEA,Diving,Hemisphere-S,may
2058,2058,14-Apr-2000,USA,Walking,Hemisphere-N,apr
