,Date,Country,Activity
1809,28-Nov-2002,USA,Body boarding
1810,17-Nov-2002,USA,Swimming
1811,14-Nov-2002,TURKS & CAICOS,Snorkeling
1812,11-Nov-2002,USA,Surfing
1813,02-Nov-2002,USA,Boogie boarding
1814,Nov-2002,FRENCH POLYNESIA,"Fishing, standing in 2' of water"
1815,30-Oct-2002,USA,Swimming
1816,14-Oct-2002,BRAZIL,Swimming
1817,11-Oct-2002,USA,Surfing
1818,05-Oct-2002,USA,Surfing
1819,05-Oct-2002,USA,Surfing
1820,03-Oct-2002,USA,Surfing
1821,30-Sep-2002,USA,Surfing
1822,29-Sep-2002,USA,Surfing
1823,27-Sep-2002,USA,Fishing from Surfboard
1824,27-Sep-2002,USA,Fishing
1825,27-Sep-2002,TONGA,Swimming
1826,21-Sep-2002,USA,Boogie boarding or Surfing
1827,21-Sep-2002,USA,Surfing
1828,16-Sep-2002,BRAZIL,Swimming
1829,16-Sep-2002,USA,Body boarding
1830,13-Sep-2002,SOUTH AFRICA,Surf skiing
1831,09-Sep-2002,USA,Boogie boarding
1832,05-Sep-2002,USA,"Wading, when he stepped on the shark"
1833,28-Aug-2002,USA,Surfing
1834,17-Aug-2002,USA,Swimming
1835,14-Aug-2002,USA,Surfing
1836,11-Aug-2002,USA,Surfing
1837,07-Aug-2002,USA,Standing
1838,Reported 06-Aug-2002,UNITED KINGDOM,Diving
1839,05-Aug-2002,USA,Standing
1840,26-Jul-2002,USA,Surfing
1841,20-Jul-2002,USA,Swimming
1842,10-Jul-2002,USA,Surfing
1843,09-Jul-2002,USA,Shark Fishing
1844,10-Jul-2002,BRAZIL,Surfing
1845,04-Jul-2002,USA,Standing
1846,20-Jun-2002,AUSTRALIA,Surfing
1847,20-Jun-2002,USA,Swimming
1848,16-Jun-2002,INDONESIA,
1849,Reported 13-Jun-2002,PAPUA NEW GUINEA,
1850,Reported 13-Jun-2002,PAPUA NEW GUINEA,Attempting to retreive a dinghy
1851,11-Jun-2002,USA,Sitting on surfboard
1852,10-Jun-2002,USA,Surfing
1853,09-Jun-2002,USA,Surfing
1854,09-Jun-2002,USA,Swimming
1855,03-Jun-2002,SOUTH AFRICA,Snorkeling (filming the sardine run)
1856,31-May-2002,USA,Surfing
1857,31-May-2002,USA,Floating on a raft
1858,22-May-2002,USA,"Fishing, removing the shark from his line"
1859,22-May-2002,USA,Playing in the surf with his 2 dogs
1860,Reported 21-May-2002,COSTA RICA,Surfing
1861,21-May-2002,PAPUA NEW GUINEA,Collecting beche-de-mer
1862,13-May-2002,USA,Fishing
1863,10-May-2002,BRAZIL,Surfing
1864,07-May-2002,AUSTRALIA,Fishing from prawn trawler
1865,30-Apr-2002,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) 
1866,21-Apr-2002,AUSTRALIA,Fishing (Drowned 2-Apr-2002)
1867,20-Apr-2002,USA,"Surfing, but standing in water alongside board"
1868,18-Apr-2002,USA,Surfing
1869,12-Apr-2002,AUSTRALIA,Swimming
1870,09-Apr-2002,BAHAMAS,Standing
1871,02-Apr-2002,USA,Wading
1872,01-Apr-2002,USA,Swimming / Wading
1873,25-Mar-2002,USA,Body-boarding
1874,25-Mar-2002,USA,Wading
1875,24-Mar-2002,BRAZIL,Swimming
1876,19-Mar-2002,USA,Swimming /  boogie boarding
1877,15-Mar-2002,USA,Snorkeling
1878,15-Mar-2002,USA,Surfing
1879,03-Mar-2002,NEW CALEDONIA,Spearfishing
1880,23-Feb-2002,TURKS & CAICOS,Capsized fishing boat
1881,16-Feb-2002,AUSTRALIA,Surfing
1882,11-Feb-2002,FIJI,
1883,07-Feb-2002,AUSTRALIA,Kayaking
1884,30-Jan-2002,AUSTRALIA,Surfing
1885,30-Jan-2002,AUSTRALIA,Swimming
1886,04-Jan-2002,SOUTH AFRICA,Fishing
1887,03-Jan-2002,BRAZIL,Swimming
1888,01-Jan-2002,SOUTH AFRICA,Surf skiing
1889,01-Jan-2002,USA,Snorkeling
1890,21-Dec-2001,AUSTRALIA,Surfing
1891,23-Nov-2001,AUSTRALIA,Surfing
1892,14-Nov-2001,USA,Surfing
1893,07-Nov-2001,AUSTRALIA,Surf-skiing
1894,07-Oct-2001,SOUTH AFRICA,Kite-Boarding
1895,02-Oct-2001,AUSTRALIA,Snorkeling
1896,30-Sep-2001,MEXICO,Body surfing
1897,30-Sep-2001,AUSTRALIA,
1898,24-Sep-2001,USA,"Surfing, fell off surfboard & stepped on the shark."
1899,18-Sep-2001,USA,Surfing
1900,16-Sep-2001,USA,Wreck / Technical diving
1901,15-Sep-2001,USA,Boogie boarding
1902,15-Sep-2001,USA,Surfing
1903,13-Sep-2001,UNITED KINGDOM,Diving
1904,08-Sep-2001,USA,Fishing
1905,07-Sep-2001,USA,Walking in shallows
1906,07-Sep-2001,USA,Swimming
1907,03-Sep-2001,USA,Swimming 
1908,03-Sep-2001,USA,Swimming
1909,02-Sep-2001,USA,Wading
1910,01-Sep-2001,USA,Swimming 
1911,31-Aug-2001,BAHAMAS,Spearfishing
1912,29-Aug-2001,USA,Standing
1913,27-Aug-2001,USA,Wading
1914,26-Aug-2001,USA,Boogie Boarding
1915,25-Aug-2001,USA,Boogie Boarding
1916,22-Aug-2001,USA,Surfing
1917,21-Aug-2001,USA,Surfing
1918,19-Aug-2001,USA,Surfing
1919,19-Aug-2001,USA,Surfing
1920,19-Aug-2001,USA,Surfing
1921,18-Aug-2001,USA,Surfing
1922,18-Aug-2001,USA,Surfing
1923,18-Aug-2001,USA,Surfing
1924,16-Aug-2001,BAHAMAS,Spearfishing
1925,12-Aug-2001,THAILAND,Fell off banana boat
1926,05-Aug-2001,USA,
1927,04-Aug-2001,BAHAMAS,Swimming
1928,03-Aug-2001,ITALY,Fishing
1929,26-Jul-2001,USA,
1930,25-Jul-2001,USA,
1931,24-Jul-2001,USA,
1932,21-Jul-2001,USA,Fishing
1933,15-Jul-2001,USA,Surfing
1934,15-Jul-2001,USA,Boogie boarding
1935,06-Jul-2001,MEXICO,Surfing
1936,06-Jul-2001,USA,Swimming
1937,03-Jul-2001,USA,
1938,Jul-2001,USA,Floating face-down in knee-deep water
1939,12-Jun-2001,USA,Swimming
1940,10-Jun-2001,USA,Spearfishing
1941,09-Jun-2001,AUSTRALIA,Hiking on the beach
1942,03-Jun-2001,USA,Wading
1943,29-May-2001,USA,
1944,23-May-2001,USA,Swimming
1945,20-May-2001,USA,Swimming
1946,18-May-2001,PHILIPPINES,Shark fishing
1947,11-May-2001,MADAGASCAR,
1948,08-May-2001,SOUTH AFRICA,Surfing
1949,04-May-2001,AUSTRALIA,Surfing
1950,03-May-2001,USA,Surfing
1951,May-2001,FIJI,"Spearfishing, carrying his catch"
1952,28-Apr-2001,USA,Boogie boarding
1953,13-Apr-2001,USA,Surfing
1954,13-Apr-2001,USA,Surfing
1955,12-Apr-2001,USA,
1956,12-Apr-2001,USA,Surfing
1957,12-Apr-2001,USA,Surfing
1958,12-Apr-2001,USA,Body boarding
1959,12-Apr-2001,USA,Surfing
1960,11-Apr-2001,USA,Surfing
1961,11-Apr-2001,USA,Surfing
1962,11-Apr-2001,USA,Surfing
1963,10-Apr-2001,USA,Surfing
1964,08-Apr-2001,SOUTH AFRICA,Surfing
1965,08-Apr-2001,AUSTRALIA,Snorkeling
1966,05-Apr-2001,USA,Standing alongside surfboard
1967,02-Ap-2001,BRAZIL,Batin
1968,02-Apr-2001,AUSTRALIA,Surfing
1969,23-Mar-2001,USA,Body-boarding
1970,09-Mar-2001,USA,Surfing
1971,08-Mar-2001,BRAZIL,Attempting to catch a crocodile
1972,03-Mar-2001,BRAZIL,Swimming
1973,Mar-2001,CARIBBEAN SEA,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board
1974,26-Feb-2001,AUSTRALIA,Fishing for whiting
1975,11-Feb-2001,MALAYSIA,Unknown
1976,04-Feb-2001,AUSTRALIA,Surfing
1977,Reported  24-Jan-2001,AUSTRALIA,Kayaking
1978,24-Jan-2001,CUBA,Swimming
1979,21-Jan-2001,AUSTRALIA,Fishing
1980,09-Jan-2001,USA,Surfing
1981,06-Jan-2001,NEW ZEALAND,Kayaking
1982,24-Dec-2000,AUSTRALIA,Scuba diving
1983,12-Dec-2000,FIJI,Swimming back from anchored sailboat
1984,11-Dec-2000,AUSTRALIA,Fishing for whiting
1985,05-Dec-2000,CANADA,Diving for sea urchins
1986,03-Dec-2000,AUSTRALIA,Spearfishing
1987,Dec-2000,NEW ZEALAND,Surfing
1988,21-Nov-2000,AUSTRALIA,Diving (shell maintenance)
1989,20-Nov-2000,AUSTRALIA,Shipwrecked
1990,17-Nov-2000,USA,Swimming
1991,10-Nov-2000,USA,Walking
1992,06-Nov-2000,AUSTRALIA,Swimming
1993,06-Nov-2000,AUSTRALIA,Swimming
1994,04-Nov-2000,USA,Surfing
1995,29-Oct-2000,AUSTRALIA,Fishing 
1996,20-Oct-2000,USA,Surfing
1997,18-Oct-2000,USA,Swimming / snorkeling
1998,14-Oct-2000,USA,Swimming
1999,09-Oct-2000,USA,Surfing
2000,06-Oct-2000,USA,Surfing
2001,06-Oct-2000,USA,Body surfing
2002,02-Oct-2000,USA,Surfing
2003,29-Sep-2000,USA,Sitting on surfboard
2004,25-Sep-2000,AUSTRALIA,Surfing
2005,24-Sep-2000,AUSTRALIA,Surfing
2006,19-Sep-2000,AUSTRALIA,Fell onto dead shark
2007,16-Sep-2000,OKINAWA,Surfing
2008,16-Sep-2000,USA,
2009,15-Sep-2000,USA,Standing / surfing
2010,12-Sep-2000,USA,Surfing
2011,11-Sep-2000,USA,Swimming / Body surfing
2012,10-Sep-2000,USA,Swimming
2013,10-Sep-2000,SOUTH AFRICA,Free diving
2014,08-Sep-2000,TANZANIA,Swimming
2015,08-Sep-2000,USA,Wading
2016,08-Sep-2000,REUNION,Surfing
2017,Early Sep-2000,TANZANIA,Swimming
2018,31-Aug-2000,USA,Swimming
2019,30-Aug-2000,USA,Jumped into the water
2020,Reported 27-Aug-2000,USA,Conducting research
2021,21-Aug-2000,USA,Swimming out to porpoises 
2022,15-Aug-2000,USA,"Windsurfing, but sitting on his board"
2023,13-Aug-2000,USA,Surfing / Wading
2024,12-Aug-2000,USA,Standing
2025,11-Aug-2000,USA,Swimming 
2026,10-Aug-2000,USA,Attempting to illegally enter the USA
2027,Aug-2000,TANZANIA,Swimming
2028,25-Jul-2000,USA,
2029,22-Jul-2000,USA,Snorkeling
2030,17-Jul-2000,USA,Surfing
2031,16-Jul-2000,USA,Surfing
2032,16-Jul-2000,SOUTH AFRICA,Surfing
2033,15-Jul-2000,SOUTH AFRICA,Surfing
2034,15-Jul-2000,SOUTH AFRICA,Surfing
2035,12-Jul-2000, TONGA,Scuba diving
2036,10-Jul-2000,USA,Wading
2037,09-Jul-2000,USA,Swimming 
2038,07-Jul-2000,USA,Jumping
2039,06-Jul-2000,USA,Playing
2040,04-Jul-2000,USA,Wading
2041,04-Jul-2000,USA,"Spearfishing, holding mesh bag with speared fish"
2042,02-Jul-2000,USA,Wading
2043,02-Jul-2000,USA,Standing
2044,Jul-2000,TANZANIA,Swimming
2045,30-Jun-2000,PAPUA NEW GUINEA,
2046,29-Jun-2000,NEW ZEALAND,Fishing
2047,19-Jun-2000,USA,Standing
2048,13-Jun-2000,USA,Sailing
2049,10-Jun-2000,USA,Surfing
2050,09-Jun-2000,USA,Swimming
2051,09-Jun-2000,USA,Swimming 
2052,02-Jun-2000,USA,Snorkeling
2053,Early Jun-2000,TANZANIA,Swimming
2054,13-May-2000,NEW CALEDONIA,"Air Disaster - Piper aircraft crashed into the sea, killing all on board"
2055,09-May-2000,AUSTRALIA,
2056,07-May-2000,PAPUA NEW GUINEA,Standing
2057,07-May-2000,PAPUA NEW GUINEA,Diving
2058,14-Apr-2000,USA,Walking
2059,09-Apr-2000,USA,Boogie boarding / wading
2060,31-Mar-2000,USA,Fishing
2061,30-Mar-2000,AUSTRALIA,Swimming
2062,26-Mar-2000,USA,Boogie boarding
2063,24-Mar-2000,USA,Surfing
2064,15-Mar-2000,NEW CALEDONIA,Spearfishing
2065,14-Mar-2000,AUSTRALIA,Surfing
2066,10-Mar-2000,AUSTRALIA,Rowing
2067,09-Mar-2000,AUSTRALIA,Rowing
2068,Reported      03-Mar-2000,NEW ZEALAND,Kayaking
2069,02-Mar-2000,AUSTRALIA,Swimming
2070,Mar-2000,USA,Spearfishing
2071,21-Feb-2000,USA,
2072,19-Feb-2000,SOUTH AFRICA,Body surfing
2073,14-Feb-2000,ENGLAND,Feeding prawns to captive sharks
2074,03-Feb-2000,NEW ZEALAND,Surfing
2075,01-Feb-2000,AUSTRALIA,Surfing
2076,Reported 28-Jan-2000,REUNION,Canoe with 3 men onboard sank
2077,05-Jan-2000,THAILAND,Diving
2078,2000,USA,Fishing for tarpon
2079,31-Dec-1999,NEW ZEALAND,Surfing
2080,31-Dec-1999,NEW ZEALAND,Swimming
2081,31-Dec-1999,NEW ZEALAND,Bathing
2082,26-Dec-1999,BRAZIL,Surfing
2083,14-Dec-1999,USA,Scuba diving
2084,06-Dec-1999,BRAZIL,Spearfishing
2085,02-Dec-1999,USA,Surfing
2086,30-Nov-1999,USA,Surfing
2087,23-Nov-1999,USA,Swimming
2088,15-Nov-1999,USA,Surfing (sitting on his board)
2089,13 -Nov-1999,SOUTH AFRICA,Surfing
2090,06-Nov-1999,BRAZIL,"Spearfishing, but swimming at surface"
2091,Nov-1999,MARSHALL ISLANDS,Swimming
2092,Nov-1999,MARSHALL ISLANDS,Swimming
2093,30-Oct-1999,USA,Body boarding
2094,30-Oct-1999,USA,Body surfing
2095,20-Oct-1999,USA,Surfing
2096,01-Oct-1999,USA,"Surfing, lying on surfboard"
2097,29-Sep-1999,USA,Wading to shore after surfing
2098,24-Sep-1999,ITALY,Fishing
2099,19-Sep-1999,USA,Kayaking
2100,Reported 16-Sep-1999,USA,Wading
2101,10-Sep-1999,USA,Wading
2102,05-Sep-1999,USA,Surfing
2103,04-Sep-1999,USA,Wading
2104,04-Sep-1999,USA,Wading with surfboard
2105,26-Aug-1999,USA,Surfing
2106,24-Aug-1999,USA,Surfing
2107,23-Aug-1999,MARSHALL ISLANDS,Fishing
2108,21-Aug-1999,USA,Surfing
2109,16-Aug-1999,USA,Lying prone in 2' of water
2110,05-Aug-1999,USA,Body surfing
2111,05-Aug-1999,BAHAMAS,Spearfishing & holding catch
2112,29-Jul-1999,SOUTH AFRICA,Surfing
2113,26-Jul-1999,USA,Swimming with dolphins
2114,21-Jul-1999,USA,Surfing
2115,15-Jul-1999,SOUTH AFRICA,Boogie boarding
2116,06-Jul-1999,USA,
2117,04-Jul-1999,USA,Wading in school of baitfish
2118,03-Jul-1999,SOUTH AFRICA,Surfing
2119,19-Jun-1999,USA,Adrift in a life jacket
2120,17-Jun-1999,USA,Surfing
2121,12-Jun-1999,USA,Swimming
2122,09-Jun-1999,USA,Splashing / wading
2123,29-May-1999,AUSTRALIA,Windsurfing
2124,01-May-1999,BRAZIL,Surfing
2125,22-Apr-1999,MAURITIUS,Swimming
2126,11-Apr-1999,REUNION,Swimming after being swept into sea by a large wave
2127,01-Apr-1999,USA,Surfing
2128,Reported 18-Mar-1999,NEW ZEALAND,Spearfishing & diving for paua
2129,18-Mar-1999,BRAZIL,Scientific research (Dr. Sonny Gruber's student)
2130,18-Mar-1999,USA,"Swimming, towing a kayak"
2131,14-Mar-1999,NEW CALEDONIA,Spearfishing
2132,14-Mar-1999,NEW ZEALAND,Fishing
2133,08-Mar-1999,USA,Body surfing or body boarding
2134,05-Mar-1999,USA,Swimming near pod of whales
2135,26-Feb-1999,USA,Cruising
2136,23-Feb-1999,AUSTRALIA,Surfing
2137,03-Feb-1999,USA,Surfing
2138,29-Jan-1999,MAURITIUS,Spearfishing
2139,13-Jan-1999,SOUTH AFRICA,Paddle Skiing
2140,01-Jan-1999,NEW ZEALAND,Inflatable boat
2141,Reported 03-Jan-1999,AUSTRALIA,Fishing
2142,03-Jan-1999,REUNION,Spearfishing
2143,1999,SOUTH AFRICA,Spearfishing
2144,1999,USA,Body surfing
2145,24-Dec-1998,USA,Surfing
2146,22-Dec-1998,AUSTRALIA,Standing
2147,Reported 20-Dec-1998,SOUTH AFRICA,Surfing
2148,18-Dec-1998,SOUTH AFRICA,Splashing
2149,15-Dec-1998,AUSTRALIA,Surfing
2150,21-Nov-1998,USA,Swimming
2151,14-Nov-1998,USA,Surfing
2152,11-Nov-1998,USA,Walking
2153,05-Nov-1998,USA,Surfing
2154,02-Nov-1998,JAPAN,Fishing for tuna
2155,02-Nov-1998,BRAZIL,Surfing
2156,24-Oct-1998,USA,Swimming
2157,18-Oct-1998,SOUTH AFRICA,Surfing
2158,10-Oct-1998,USA,Surfing
2159,04-Oct-1998,BRAZIL,Surfing
2160,01-Oct-1998,REUNION,Diving
2161,01-Oct-1998,USA,
2162,27-Sep-1998,USA,Surfing
2163,22-Sep-1998,USA,Surfing
2164,Reported 16-Sep-1998,SOUTH AFRICA,Fishing / washing bait off hands
2165,14-Sep-1998,USA,Surfing
2166,Sep-1998,SENEGAL,Spearfishing
2167,30-Aug-1998,USA,Surfing
2168,27-Aug-1998,ITALY,Fishing
2169,26-Aug-1998,USA,Boogie boarding
2170,Reported      23-Aug-1998,USA,Spearfishing
2171,15-Aug-1998,BAHAMAS,Spearfishing
2172,13-Aug-1998,USA,Body-boarding
2173,12-Aug-1998,SOUTH AFRICA,Moving a shark in a net 
2174,01-Aug-1998,SOUTH AFRICA,Surfing (or body boarding)
2175,01-Aug-1998,SOUTH AFRICA,Spearfishing
2176,26-Jul-1998,BRAZIL,Surfing
2177,25-Jul-1998,USA,Surfing
2178,06-Jul-1998,SOUTH AFRICA,Wading
2179,11-Jul-1998,SOUTH AFRICA,Surfing
2180,06-Jul-1998,SOUTH AFRICA,Surfing
2181,28-Jun-1998,AUSTRALIA,Free diving for abalone
2182,22-Jun-1998,SOUTH AFRICA,Body Boarding
2183,08-Jun-1998,USA,Surfing
2184,05-Jun-1998,SOUTH AFRICA,Surfing
2185,30-May-1998,SOUTH AFRICA,Surfing
2186,29-May-1998,SOUTH AFRICA,Body boarding
2187,29-May-1998,SOUTH AFRICA,Body boarding
2188,25-May-1998,USA,Surfing
2189,16-May-1998,USA,Swimming
2190,16-May-1998,USA,Swimming / surfing
2191,16-May-1998,SOUTH AFRICA,Body boarding
2192,26-Apr-1998,MOZAMBIQUE,Towing rubber dinghy
2193,21-Apr-1998,USA,Surfing (lying prone on his board)
2194,17-Apr-1998,USA,Scuba diving
2195,01-Apr-1998,BRAZIL,Swimming 
2196,Apr-1998,NEW CALEDONIA,
2197,31-Mar-1998,USA,Swimming
2198,15-Mar-1998,SOUTH AFRICA,Snorkeling â hunting crayfish and abalone
2199,08-Mar-1998,USA,Swimming or paddle boarding
2200,23-Feb-1998,USA,Swimming
2201,Reported 28-Jan-1998,AUSTRALIA,Spearfishing
2202,Jan-1998,NEW CALEDONIA,Windsurfing
2203,25-Jan-1998,REUNION,Bathing
2204,25-Jan-1998,SOUTH AFRICA,Surfing
2205,17-Jan-1998,AUSTRALIA,Surfing
2206,14-Jan-1998,MOZAMBIQUE,Surfing
2207,1998,SOUTH AFRICA,Surfing
2208,1998,REUNION,Diving
2209,1998,USA,Spearfishing on scuba & transferring fish onto a stringer
2210,28-Dec-1997,SOUTH AFRICA,Spearfishing
2211,28-Dec-1997,SOUTH AFRICA,Sitting on surfboard
2212,25-Dec-1997,USA,
2213,25-Dec-1997,USA,Swimming
2214,09-Nov-1997,AUSTRALIA,Scuba diving (submerged riding a scooter)
2215,Reported 05-Nov-1997,USA,Swimming
2216,05-Nov-1997,AUSTRALIA,Unknown
2217,28-Oct-1997,AUSTRALIA,Surf-skiing
2218,28-Oct-1997,USA,Body boarding or surfing
2219,24-Oct-1997,USA,Surfing
2220,21-Oct-1997,USA,Surfing
2221,Reported 11-Oct-1997,SOUTH AFRICA,Fishingat
2222,04-Oct-1997,USA,Swimming
2223,16-Sep-1997,BRAZIL,Swimming
2224,09-Sep-1997,USA,Surfing
2225,08-Sep-1997,USA,Surfing
2226,06-Sep-1997,USA,Surfing
2227,30-Aug-1997,USA,Surfing
2228,27-Aug-1997,USA,Walking / surfing
2229,24-Aug-1997,USA,Surfing (sitting on his board)
2230,14-Aug-1997,MEXICO,SCUBA diving
2231,14-Aug-1997,MEXICO,SCUBA diving
2232,11-Aug-1997,USA,Floating on raft
2233,11-Aug-1997,EGYPT,Fishing
2234,11-Aug-1997,EGYPT,Fishing
2235,10-Aug-1997,USA,Boogie boarding
2236,09-Aug-1997,USA,Surfing
2237,05-Aug-1997,USA,Wading
2238,04-Aug-1997,USA,Wade-fishing
2239,02-Aug-1997,USA,Body surfing
2240,02-Aug-1997,USA,Wading / Surfing
2241,27-Jul-1997,AUSTRALIA,Surfing
2242,21-Jul-1997,SOUTH AFRICA,Surfing
2243,17-Jul-1997,BRAZIL,Surfing
2244,14-Jul-1997,USA,Standing
2245,12-Jul-1997,OKINAWA,Fishing for octopus
2246,2-Jul-1997,BRAZIL,Surfing
2247,24-Jun-1997,USA,Spearfishing / night diving
2248,15-Jun-1997,FIJI,Snorkeling
2249,09-Jun-1997,USA,Surfing
2250,07-Jun-1997,BRAZIL,Bathing
2251,02-Jun-1997,USA,"Body surfing, stood up on sandbar"
2252,31-May-1997,USA,Spearfishing
2253,31-May-1997,USA,Surfing
2254,31-May-1997,USA,Surfing
2255,26-May-1997,BAHAMAS,Spearfishing
2256,17-May-1997,BAHAMAS,Spearfishing
2257,20-Apr-1997,BRAZIL,Windsurfing
2258,28-Feb-1997,AUSTRALIA,Swimming
2259,28-Feb-1997,AUSTRALIA,Scuba diving
2260,21-Feb-1997,USA,
2261,20-Feb-1997,REUNION,
2262,03-Feb-1997,AUSTRALIA,Rowing 
2263,25-Jan-1997,AUSTRALIA,Snorkeling
2264,20-Jan-1997,AUSTRALIA,Windsurfing
2265,03-Jan-1997,REUNION,Spearfishing
2266,01-Jan-1997,AUSTRALIA,Watching seals
2267,29-Dec-1996,AUSTRALIA,Surfing
2268,10-Dec-1996,SOUTH AFRICA,Surfing
2269,Dec-1996,NEW CALEDONIA,Spearfishing
2270,Dec-1996,NEW CALEDONIA,Attempting to attract dolphins
2271,29-Nov-1996,USA,Surfing
2272,18-Nov-1996,USA,Surfing
2273,28-Oct-1996,BRAZIL,Surfing
2274,28-Oct-1996,BRAZIL,Surfing
2275,09-Oct-1996,OKINAWA,Swimming or snorkeling
2276,05-Oct-1996,USA,Surfing
2277,03-Oct-1996,USA,Surfing
2278,03-Oct-1996,USA,Surfing
2279,Oct-1996,BRAZIL,
2280,18-Sep-1996,USA,Swimming
2281,06-Sep-1996,NEW ZEALAND,Diving for abalone
2282,06-Sep-1996,USA,Surfing / Swimming
2283,02-Sep-1996,USA,Standing
2284,02-Sep-1996,USA,Sitting on surfboard
2285,01-Sep-1996,USA,Boogie boarding
2286,01-Sep-1996,SOUTH AFRICA,Spearfishing
2287,29-Aug-1996,USA,Body Boarding
2288,13-Aug-1996,USA,Free diving for abalone
2289,11-Aug-1996,USA,Wade fishing
2290,26-Jul-1996,USA,Standing
2291,23-Jul-1996,OKINAWA,Swimming
2292,23-Jul-1996,EGYPT / ISRAEL,Free diving with a pod of dolphins
2293,21-Jul-1996,USA,Swimming
2294,20-Jul-1996,USA,Swimming
2295,14-Jul-1996,USA,
2296,10-Jul-1996,USA,
2297,04-Jul-1996,USA,Standing
2298,04-Jul-1996,BAHAMAS,Diving
2299,25-Jun-1996,USA,Body surfing
2300,06-Jun-1996,AUSTRALIA,Surfing
2301,04-Jun-1996,SOUTH AFRICA,Surfing
2302,28-May-1996,SOUTH AFRICA,Surfing
2303,24-May-1996,AUSTRALIA,Tech diving 
2304,18-May-1996,USA,Surfing
2305,10-May-1996,SOUTH KOREA,Shell Diving
2306,07-May-1996,USA,Surfing
2307,28-Apr-1996,USA,
2308,25-Apr-1996,AUSTRALIA,Swimming
2309,25-Apr-1996,AUSTRALIA,Swimming
2310,07-Apr-1996,BRAZIL,Swimming
2311,05-Mar-1996,AUSTRALIA,Swimming breast stoke
2312,Mar-1996,AUSTRALIA,Fishing in knee-deep water
2313,26-Feb-1996,AUSTRALIA,Dived naked into the water on a bet
2314,Reported      19-Feb-1996,USA,Swimming in fish tank
2315,09-Feb-1996,PAPUA NEW GUINEA,
2316,09-Feb-1996,PAPUA NEW GUINEA,
2317,09-Feb-1996,PAPUA NEW GUINEA,Diving 
2318,05-Feb-1996,DOMINICAN REPUBLIC,Boeing 757 enroute from Porta Plata plunged into the sea
2319,04-Feb-1996,AUSTRALIA,Swimming
2320,23-Jan-1996,USA,Wading
2321,22-Jan-1996,AUSTRALIA,Swimming
2322,16-Jan-1996,USA,Swimming with mask & snorkel
2323,14-Jan-1996,AUSTRALIA,
2324,12-Jan-1996,AUSTRALIA,Chumming for sharks
2325,10-Jan-1996,REUNION,Surfing
2326,1996,FIJI,
2327,1996,USA,Surfing
2328,18-Dec-1995,USA,
2329,11-Nov-1995,NEW ZEALAND,"Diving, gathering shellfish"
2330,25-Nov-1995,USA,
2331,25-Nov-1995,NORTHERN ARABIAN SEA,Fell off aircraft carrier
2332,17-Nov-1995,AUSTRALIA,
2333,Reported 28-Oct-1995,USA,Boogie boarding
2334,21-Oct-1995,USA,Surfing
2335,11-Oct-1995,AUSTRALIA,Playing / standing
2336,01-Oct-1995,USA,Surfing
2337,30-Sep-1995,USA,Surfing
2338,30-Sep-1995,USA,Surfing
2339,28-Sep-1995,USA,Windsurfing
2340,19-Sep-1995,USA,Surfing
2341,17-Sep-1995,USA,Swimming
2342,16-Sep-1995,REUNION,Body-boarding
2343,13-Sep-1995,USA,Scuba diving
2344,11-Sep-1995,AUSTRALIA,Abalone diving using Hookah (near calving whales)
2345,03-Sep-1995,USA,Abalone diving using Hookah (resting on the surface)
2346,03-Sep-1995,USA,Swimming
2347,31-Aug-1995,USA,Surfing
2348,31-Aug-1995,USA,On a float
2349,27-Aug-1995,BRAZIL,Surfing
2350,26-Aug-1995,USA,Surfing
2351,26-Aug-1995,USA,Surfing
2352,25-Aug-1995,USA,Swimming
2353,22-Aug-1995,USA,Swimming 
2354,22-Aug-1995,USA,Surfing
2355,21-Aug-1995,USA,Diving
2356,19-Aug-1995,TONGA,Fishing
2357,15-Aug-1995,USA,Wading
2358,13-Aug-1995,USA,Swimming
2359,10-Aug-1995,USA,Surfing
2360,10-Aug-1995,USA,"""Riding waves on a board"""
2361,07-Aug-1995,USA,Body boarding
2362,01-Aug-1995,TONGA,Fishing
2363,Aug-1995,USA,Diving
2364,28-Jul-1995,USA,Surfing
2365,28-Jul-1995,USA,Surfing
2366,28-Jul-1995,USA,Surfing
2367,28-Jul-1995,USA,Standing
2368,28-Jul-1995,USA,
2369,24-Jul-1995,USA,Swimming
2370,23-Jul-1995,USA,Body boarding
2371,07-Jul-1995,BRAZIL,Surfing
2372,08-Nov-1984,SOUTH AFRICA,Surfing
2373,06-Jul-1995,USA,Surfing
2374,03-Jul-1995,USA,Fishing
2375,Early Jul-1995,USA,Jumped off surfboard & landed on the shark
2376,30-Jun-1995,USA,Scuba diving (ascending using scooter)
2377,24-Jun-1995,USA,Kayaking
2378,23-Jun-1995,USA,Playing / jumping
2379,17-Jun-1995,USA,Surfing
2380,17-Jun-1995,USA,Swimming
2381,16-Jun-1995,USA,Swimming
2382,14-Jun-1995,USA,Swimming
2383,13-Jun-1995,HONG KONG,Swimming
2384,02-Jun-1995,HONG KONG,Swimming
2385,31-May-1995,HONG KONG,Diving
2386,26-May-1995,USA,Surfing
2387,24-May-1995,FIJI,Sleeping in anchored boat
2388,18-May-1995,AUSTRALIA,
2389,12-May-1995,SOUTH KOREA,Diving for abalone
